name,artist,release_year,id,genre
I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",2024,5nPbKG04fhLkIAjcPFaZq7,"electronic, gaming"
I Can Do It With a Broken Heart,Taylor Swift,2024,4q5YezDOIPcoLr8R81x9qy,gaming
Like That,"Future, Metro Boomin, Kendrick Lamar",2024,2tudvzsrR56uom6smgOcSf,"gaming, hip-hop"
Mejores Jordans,"Victor Mendivil, Oscar Maydon",2024,1cZHUhGz7xJ8c4szDipipd,latin
Rockstar,LISA,2024,6vvPecFTmWxDfEJ6cYT1wa,k-pop
we can't be friends (wait for your love),Ariana Grande,2024,46kspZSY3aKmwQe7O77fCC,"gaming, pop"
Belong Together,Mark Ambor,2024,5uQ7de4EWjb3rkcFxyEOpu,"gaming, pop"
Hecha Pa' Mí,Grupo Frontera,2024,1uGUbgZuO1kD1JZ0UeFupN,latin
Moonlit Floor (Kiss Me),LISA,2024,5G345YEhvleYxQLfYUlEFv,pop
Nueva Era,"Duki, Myke Towers",2024,03IpZ9yqJlo3EIgDQUgBSF,latin
PELIGROSA,FloyyMenor,2024,5PCGEfALcpGtURIuTqvX0R,latin
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",2024,0l0vcZMU7AOeQmUIREoI2U,"latin, pop"
Soltera - W Sound 01,"W Sound, Blessd, Ovy On The Drums",2024,13BDiikG6y5o5cQTK0HpW6,latin
on one tonight,Gunna,2024,6EUcP55GlbmsmCzfL2vxtZ,gaming
DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",2024,0qeIFEGRQqHoaJtLCl0U73,"latin, pop"
360,Charli xcx,2024,4w2GLmK2wnioVnb5CPQeex,gaming
ALL RED,Playboi Carti,2024,2cZOYofOX4d6g0OXxkaIjA,hip-hop
Addicted,"Zerb, The Chainsmokers, Ink",2024,5ZUIPLoTLJZrPQh2kFZEUM,gaming
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",2024,7iabz12vAuVQYyekFIWJxD,"arabic, gaming, hip-hop"
